elementName	stage1-3	stage13-16	stage4-6	stage9-10	stage11-12	stage7-8	allTerms
Ndg					"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium"		"FBbt:00005084,muscle founder cell; FBbt:00005518,somatic muscle primordium; FBbt:00005649,embryonic somatic muscle"
lab_HZ550_NR			FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005397,embryonic epidermis; FBbt:00001882,embryonic/larval midgut; FBbt:00000444,anterior midgut primordium; FBbt:00000125,endoderm; FBbt:00005624,embryonic/larval midgut primordium; FBbt:00000095,amnioserosa"
brk-shadow			FBbt:00004204,ventral ectoderm anlage	FBbt:00005554,ventral nerve cord primordium		"FBbt:00005558,ventral ectoderm; FBbt:00005554,ventral nerve cord primordium"	"FBbt:00005558,ventral ectoderm; FBbt:00004204,ventral ectoderm anlage; FBbt:00005554,ventral nerve cord primordium"
Acon		"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005073,somatic muscle"	FBbt:0000611,NA	FBbt:0000611,NA	"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium"	FBbt:0000611,NA	"FBbt:00000464,embryonic/larval somatic muscle; FBbt:00005518,somatic muscle primordium; FBbt:00000462,embryonic/larval muscle system; FBbt:00005647,presumptive embryonic/larval muscle system"
Or67d_236							"FBbt:00004173,sensillum trichodeum of antennal segment 3; FBbt:00004158,maxillary palp sense organ; FBbt:00004174,sensillum basiconicum of antennal segment 3; FBbt:00004177,sensillum coeloconicum of antennal segment 3; FBbt:00005926,olfactory receptor neuron"
ttk(early)		FBbt:00005073,somatic muscle	FBbt:0000611,NA	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm"	"FBbt:00000126,mesoderm; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005073,somatic muscle"	FBbt:00000128,trunk mesoderm	"FBbt:00000128,trunk mesoderm; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium"
ttk_SVM2		FBbt:00005073,somatic muscle	FBbt:0000611,NA	"FBbt:00000128,trunk mesoderm; FBbt:00000126,mesoderm"	"FBbt:00000126,mesoderm; FBbt:00005518,somatic muscle primordium; FBbt:00005519,visceral muscle primordium; FBbt:00005073,somatic muscle"	FBbt:00000128,trunk mesoderm	"FBbt:00000130,visceral mesoderm; FBbt:00000129,somatic mesoderm; FBbt:00000463,embryonic myoblast"
lbl_SBM					"FBbt:00005073,somatic muscle; FBbt:00005518,somatic muscle primordium"		"FBbt:00005084,muscle founder cell; FBbt:00005518,somatic muscle primordium; FBbt:00005649,embryonic somatic muscle; FBbt:00000941,abdominal 7 segment border muscle"
Prm_(-1.7/-1.4)PM		FBbt:00005073,somatic muscle					"FBbt:00000462,embryonic/larval muscle system; FBbt:00004073,tergal depressor of trochanter muscle motor neuron; FBbt:00000588,hypodermal muscle of abdomen; FBbt:00005070,visceral muscle; FBbt:00003379,direct flight muscle; FBbt:00003318,skeletal muscle of leg"
Prm_-1.7/-0.76_NR		FBbt:00005073,somatic muscle					"FBbt:00003404,mesothoracic extracoxal depressor muscle 66; FBbt:00000464,embryonic/larval somatic muscle; FBbt:00000462,embryonic/larval muscle system; FBbt:00000588,hypodermal muscle of abdomen; FBbt:00001035,embryonic/larval visceral muscle; FBbt:00005647,presumptive embryonic/larval muscle system; FBbt:00003379,direct flight muscle"
